"region";"kvartal";"Prisindeks for brukte boliger"
"Trondheim";"1992K3";0.0
"Trondheim";"1992K4";0.0
"Trondheim";"1993K1";0.0
"Trondheim";"1993K2";0.0
"Trondheim";"1993K3";0.0
"Trondheim";"1993K4";0.0
"Trondheim";"1994K1";0.0
"Trondheim";"1994K2";0.0
"Trondheim";"1994K3";0.0
"Trondheim";"1994K4";0.0
"Trondheim";"1995K1";0.0
"Trondheim";"1995K2";0.0
"Trondheim";"1995K3";0.0
"Trondheim";"1995K4";0.0
"Trondheim";"1996K1";0.0
"Trondheim";"1996K2";0.0
"Trondheim";"1996K3";0.0
"Trondheim";"1996K4";0.0
"Trondheim";"1997K1";0.0
"Trondheim";"1997K2";0.0
"Trondheim";"1997K3";0.0
"Trondheim";"1997K4";0.0
"Trondheim";"1998K1";0.0
"Trondheim";"1998K2";0.0
"Trondheim";"1998K3";0.0
"Trondheim";"1998K4";0.0
"Trondheim";"1999K1";0.0
"Trondheim";"1999K2";0.0
"Trondheim";"1999K3";0.0
"Trondheim";"1999K4";0.0
"Trondheim";"2000K1";0.0
"Trondheim";"2000K2";0.0
"Trondheim";"2000K3";0.0
"Trondheim";"2000K4";0.0
"Trondheim";"2001K1";0.0
"Trondheim";"2001K2";0.0
"Trondheim";"2001K3";0.0
"Trondheim";"2001K4";0.0
"Trondheim";"2002K1";0.0
"Trondheim";"2002K2";0.0
"Trondheim";"2002K3";0.0
"Trondheim";"2002K4";0.0
"Trondheim";"2003K1";0.0
"Trondheim";"2003K2";0.0
"Trondheim";"2003K3";0.0
"Trondheim";"2003K4";0.0
"Trondheim";"2004K1";0.0
"Trondheim";"2004K2";0.0
"Trondheim";"2004K3";0.0
"Trondheim";"2004K4";0.0
"Trondheim";"2005K1";53.8
"Trondheim";"2005K2";54.3
"Trondheim";"2005K3";55.0
"Trondheim";"2005K4";55.0
"Trondheim";"2006K1";59.0
"Trondheim";"2006K2";60.5
"Trondheim";"2006K3";61.3
"Trondheim";"2006K4";61.8
"Trondheim";"2007K1";65.3
"Trondheim";"2007K2";66.0
"Trondheim";"2007K3";65.6
"Trondheim";"2007K4";63.0
"Trondheim";"2008K1";64.4
"Trondheim";"2008K2";65.9
"Trondheim";"2008K3";62.6
"Trondheim";"2008K4";58.7
"Trondheim";"2009K1";61.6
"Trondheim";"2009K2";63.8
"Trondheim";"2009K3";65.0
"Trondheim";"2009K4";66.8
"Trondheim";"2010K1";70.6
"Trondheim";"2010K2";71.2
"Trondheim";"2010K3";73.2
"Trondheim";"2010K4";72.9
"Trondheim";"2011K1";77.0
"Trondheim";"2011K2";80.0
"Trondheim";"2011K3";80.5
"Trondheim";"2011K4";82.0
"Trondheim";"2012K1";83.2
"Trondheim";"2012K2";86.9
"Trondheim";"2012K3";87.9
"Trondheim";"2012K4";88.4
"Trondheim";"2013K1";92.7
"Trondheim";"2013K2";92.4
"Trondheim";"2013K3";92.3
"Trondheim";"2013K4";89.4
"Trondheim";"2014K1";91.7
"Trondheim";"2014K2";96.2
"Trondheim";"2014K3";94.6
"Trondheim";"2014K4";96.0
"Trondheim";"2015K1";97.7
"Trondheim";"2015K2";101.7
"Trondheim";"2015K3";101.3
"Trondheim";"2015K4";99.3
"Trondheim";"2016K1";104.0
"Trondheim";"2016K2";106.4
"Trondheim";"2016K3";108.8
"Trondheim";"2016K4";108.3
"Trondheim";"2017K1";111.7
"Trondheim";"2017K2";113.0
"Trondheim";"2017K3";110.5
"Trondheim";"2017K4";106.8
"Trondheim";"2018K1";110.0
"Trondheim";"2018K2";113.4
"Trondheim";"2018K3";110.2
"Trondheim";"2018K4";110.4
"Trondheim";"2019K1";111.7
"Trondheim";"2019K2";111.1
"Trondheim";"2019K3";112.1
"Trondheim";"2019K4";110.5
"Trondheim";"2020K1";113.3
"Trondheim";"2020K2";115.4
"Trondheim";"2020K3";115.8
"Trondheim";"2020K4";117.6
"Akershus uten Bærum";"1992K1";17.5
"Akershus uten Bærum";"1992K2";17.9
"Akershus uten Bærum";"1992K3";17.7
"Akershus uten Bærum";"1992K4";17.1
"Akershus uten Bærum";"1993K1";16.9
"Akershus uten Bærum";"1993K2";17.4
"Akershus uten Bærum";"1993K3";17.8
"Akershus uten Bærum";"1993K4";17.9
"Akershus uten Bærum";"1994K1";19.3
"Akershus uten Bærum";"1994K2";19.2
"Akershus uten Bærum";"1994K3";20.3
"Akershus uten Bærum";"1994K4";21.1
"Akershus uten Bærum";"1995K1";21.1
"Akershus uten Bærum";"1995K2";21.7
"Akershus uten Bærum";"1995K3";22.4
"Akershus uten Bærum";"1995K4";22.9
"Akershus uten Bærum";"1996K1";23.5
"Akershus uten Bærum";"1996K2";24.7
"Akershus uten Bærum";"1996K3";25.5
"Akershus uten Bærum";"1996K4";26.1
"Akershus uten Bærum";"1997K1";26.0
"Akershus uten Bærum";"1997K2";28.6
"Akershus uten Bærum";"1997K3";29.3
"Akershus uten Bærum";"1997K4";29.3
"Akershus uten Bærum";"1998K1";30.9
"Akershus uten Bærum";"1998K2";33.0
"Akershus uten Bærum";"1998K3";32.4
"Akershus uten Bærum";"1998K4";31.8
"Akershus uten Bærum";"1999K1";32.8
"Akershus uten Bærum";"1999K2";35.7
"Akershus uten Bærum";"1999K3";36.8
"Akershus uten Bærum";"1999K4";38.5
"Akershus uten Bærum";"2000K1";40.2
"Akershus uten Bærum";"2000K2";44.1
"Akershus uten Bærum";"2000K3";42.4
"Akershus uten Bærum";"2000K4";41.9
"Akershus uten Bærum";"2001K1";42.3
"Akershus uten Bærum";"2001K2";45.3
"Akershus uten Bærum";"2001K3";44.0
"Akershus uten Bærum";"2001K4";44.5
"Akershus uten Bærum";"2002K1";45.1
"Akershus uten Bærum";"2002K2";46.4
"Akershus uten Bærum";"2002K3";46.5
"Akershus uten Bærum";"2002K4";45.7
"Akershus uten Bærum";"2003K1";46.6
"Akershus uten Bærum";"2003K2";46.4
"Akershus uten Bærum";"2003K3";46.7
"Akershus uten Bærum";"2003K4";46.9
"Akershus uten Bærum";"2004K1";50.0
"Akershus uten Bærum";"2004K2";50.9
"Akershus uten Bærum";"2004K3";50.6
"Akershus uten Bærum";"2004K4";51.2
"Akershus uten Bærum";"2005K1";53.3
"Akershus uten Bærum";"2005K2";54.2
"Akershus uten Bærum";"2005K3";54.8
"Akershus uten Bærum";"2005K4";54.9
"Akershus uten Bærum";"2006K1";57.5
